SPECIALITY ,SET DISCRIPTION,NAME,CATEGORY,BRIEF,DESCRIPTION ,TYPE,USAGE,IMPORTANT CONSIDERATIONS,CLEANING & STERILIZATION,INSPECTION & MAINTENANCE,REFERENCE IMAGES
,,"Metzenbaum Scissors , Curved 7"" / 8""",General,"Metzenbaum scissors, curved, are versatile surgical instruments for precise cutting and blunt tissue dissection, featuring long shanks and curved blades for access into hard-to-reach anatomical areas. Crafted from high-quality stainless steel, sometimes with tungsten carbide inserts for enhanced durability and sharpness, they are used in various medical and dental procedures to trim delicate tissues, cut sutures, and remove bandages. The curved design allows for superior maneuverability, while the ergonomic handle provides a comfortable grip for precise manipulation.","Material: Made from high-quality stainless steel, ensuring durability and sterilizability. 
Tungsten Carbide Inserts: Some models feature tungsten carbide inserts bonded to the blades, which significantly enhances cutting efficiency and prolongs the lifespan of the instrument. 
Curved Blades: The blades are curved, allowing for better access to and navigation within difficult-to-reach surgical sites. 
Long Shank-to-Blade Ratio: The long shank provides greater maneuverability and control for the surgeon. 
Blunt or Serrated Tips: Depending on the model and intended use, blades can have smooth, blunt, or serrated edges. 
Ergonomic Design: The handles are designed for a comfortable grip, minimizing hand fatigue during extended surgical use. ",They comes in different sizes.,"Delicate Tissue Dissection: Used in general surgery, gynecology, and other specialized fields to precisely separate and trim delicate tissues with minimal trauma. 
Suture Cutting: Ideal for cutting sutures with accuracy and control. 
Bandage Removal: Efficiently used for cutting and removing bandages. 
Blunt Dissection: The design also allows for blunt dissection, separating tissue planes without cutting through them. 
Dental Procedures: Specifically used for procedures like periodontal surgeries, soft tissue grafting, and other oral surgeries. ",,"Pre-cleaning: Clean the instrument immediately after use to prevent the drying of biological matter. 
Solution: Use a neutral pH (pH 7) cleaning solution for manual or ultrasonic cleaning. 
Process: Clean the retractor in its open position to ensure thorough and effective cleaning of all parts. 
Tools: Use soft cloths, soft plastic brushes made of nylon, or water spray guns for cleaning. 
Drying: Dry instruments completely before sterilization or storage to prevent rust and microbial growth","Lubrication 
Frequency: Lubricate the movable and jointed parts of the retractor once a month.
Lubricant: Use a high-quality, surgical-grade instrument lubricant; do not use industrial oils.
Application: Ensure the lubricant reaches all moving parts for smooth operation and to prevent seizing.
Storage 
Environment: Store surgical instruments in a dry, clean environment.
Protection: Seal away instruments to prevent exposure to moisture, which can lead to oxidation and rust.
Inspection: Before use, visually inspect the retractor for any signs of corrosion, damage, or wear.",
,,,,,,,,,,,
,,"Backhaus Towel Clip 5""",General,"A 5"" Backhaus Towel Clip, also known as a Backhaus Towel Clamp, is a surgical instrument with sharp, inwardly-curved, perforating prongs and a scissor-like handle with a ratchet locking system. It is primarily used to firmly secure surgical drapes and towels to a patient's skin to define the surgical field and prevent movement during a procedure. The clamp's sharp prongs grip the drapes and skin, while the ratchet ensures a stable hold, and its stainless steel construction allows for repeated sterilization and reuse. ","Design: The instrument has a scissor-like construction with two finger rings for easy handling and a boxlock system for smooth joint movement. 
Prongs: It features 1x1 prongs designed to perforate and provide a firm grip on both the drapes and the patient's underlying skin. 
Locking Mechanism: A ratchet locking mechanism provides a secure hold, preventing the clamp from slipping or shifting during surgery. 
Material: Constructed from high-grade stainless steel, it is durable, corrosion-resistant, and suitable for multiple sterilization cycles (autoclavable). 
Size: The 5-inch (or approximately 12.7 cm) size is a common length, catering to various surgical needs. ",,"Securing Drapes: The primary use is to attach sterile drapes to a patient's skin at the edges of the operative site, thus establishing and maintaining the surgical field. 
Preventing Movement: By gripping the drapes and skin, it keeps them from shifting or slipping, ensuring the surgeon has a clear view of the surgical site. 
Tissue Grasping: The clamp's strong grip also makes it useful for grasping tissue during minor surgical interventions. 
Bone Fracture Management: It can be used to hold, secure, and gently reduce small bone fractures in orthopedic procedures. ",,"Pre-cleaning: Clean the instrument immediately after use to prevent the drying of biological matter. 
Solution: Use a neutral pH (pH 7) cleaning solution for manual or ultrasonic cleaning. 
Process: Clean the retractor in its open position to ensure thorough and effective cleaning of all parts. 
Tools: Use soft cloths, soft plastic brushes made of nylon, or water spray guns for cleaning. 
Drying: Dry instruments completely before sterilization or storage to prevent rust and microbial growth","Lubrication 
Frequency: Lubricate the movable and jointed parts of the retractor once a month.
Lubricant: Use a high-quality, surgical-grade instrument lubricant; do not use industrial oils.
Application: Ensure the lubricant reaches all moving parts for smooth operation and to prevent seizing.
Storage 
Environment: Store surgical instruments in a dry, clean environment.
Protection: Seal away instruments to prevent exposure to moisture, which can lead to oxidation and rust.
Inspection: Before use, visually inspect the retractor for any signs of corrosion, damage, or wear.",
,,,,,,,,,,,
,,Yaunker Suction Tip Adult,General,"An Adult Yankauer Suction Tip is a rigid, plastic, medical instrument with a large, bulbous tip and a wide opening, designed to suction large volumes of fluids, blood, and secretions from the oropharynx and operative sites without damaging surrounding tissues. Its primary uses include removing secretions that could lead to aspiration, clearing surgical fields during procedures, and controlling oral secretions in patients unable to clear them themselves.","Material: Typically made of rigid plastic. 
Design: Features a large, bulbous head and a wide opening to allow for effective suctioning of large amounts of fluid and debris. 
Rigidity: Its rigid nature provides control and prevents it from collapsing during use. 
Variations: Available with or without a thumb control vent to regulate suction. ",,"Oropharyngeal Suctioning: Used to remove secretions from the mouth and throat, preventing aspiration. 
Surgical Suction: Clears blood, fluids, and debris from surgical sites, improving visibility for the surgical team. 
Oral Hygiene: Helps patients who have difficulty clearing their mouths, such as those with swallowing impairments (dysphagia), to maintain oral health. 
Emergency Medicine: In emergencies, it's used to control airway secretions, fresh blood, or vomitus to assist with procedures like endotracheal intubation. ",,"Pre-cleaning: Clean the instrument immediately after use to prevent the drying of biological matter. 
Solution: Use a neutral pH (pH 7) cleaning solution for manual or ultrasonic cleaning. 
Process: Clean the retractor in its open position to ensure thorough and effective cleaning of all parts. 
Tools: Use soft cloths, soft plastic brushes made of nylon, or water spray guns for cleaning. 
Drying: Dry instruments completely before sterilization or storage to prevent rust and microbial growth","Lubrication 
Frequency: Lubricate the movable and jointed parts of the retractor once a month.
Lubricant: Use a high-quality, surgical-grade instrument lubricant; do not use industrial oils.
Application: Ensure the lubricant reaches all moving parts for smooth operation and to prevent seizing.
Storage 
Environment: Store surgical instruments in a dry, clean environment.
Protection: Seal away instruments to prevent exposure to moisture, which can lead to oxidation and rust.
Inspection: Before use, visually inspect the retractor for any signs of corrosion, damage, or wear.",
,,,,,,,,,,,
,,"Micro Suction Tip With Thumb Control , No.3",General,"A micro suction tip with thumb control is a surgical instrument, often used in ENT procedures, that allows a medical professional to precisely control the suction intensity by using a thumb-activated valve to cover or uncover holes on the instrument's handle. This feature is crucial for safely and effectively removing fluids like blood and mucus, or debris like plaque, from delicate tissues and providing a clear field of vision for the surgeon. ","Instrument Type: A specialized adapter or tip designed for microscopic or endoscopic suction procedures. 
Material: Made from high-quality, durable materials such as stainless steel, making it corrosion-resistant, autoclavable, and suitable for repeated use. 
Thumb Control Valve: An integrated mechanism on the handle that allows the user to regulate the suction pressure by sliding their thumb over strategically placed holes. 
Ergonomics: Designed for ease of handling and to reduce the risk of blockages with its streamlined and smooth internal bore. 
Compatibility: Compatible with standard suction tubing and other surgical tips, ensuring a secure and leak-proof fit. ",,"Controlled Suction: The primary function is to provide precise and controlled suction during medical procedures. 
ENT Procedures: Widely used in Ear, Nose, and Throat (ENT) surgeries for procedures like myringotomy, nasal surgeries, sinus procedures, and tonsillectomies. 
Oral Care: Also used for cleaning the mouth by removing food, plaque, and other secretions, especially in patients who have difficulty spitting. 
Airway Management: Essential for maintaining a clear airway by removing excess secretions, blood, or other materials that could obstruct the patient's breathing. 
Enhanced Visualization: By keeping the operative field clear of fluids, it significantly improves the surgeon's visualization and precision during microscopic surgeries. 
Minimizing Tissue Trauma: The ability to instantly adjust suction intensity helps prevent damage to delicate tissues in areas like the nasal cavity or middle ear. ",,"Pre-cleaning: Clean the instrument immediately after use to prevent the drying of biological matter. 
Solution: Use a neutral pH (pH 7) cleaning solution for manual or ultrasonic cleaning. 
Process: Clean the retractor in its open position to ensure thorough and effective cleaning of all parts. 
Tools: Use soft cloths, soft plastic brushes made of nylon, or water spray guns for cleaning. 
Drying: Dry instruments completely before sterilization or storage to prevent rust and microbial growth","Lubrication 
Frequency: Lubricate the movable and jointed parts of the retractor once a month.
Lubricant: Use a high-quality, surgical-grade instrument lubricant; do not use industrial oils.
Application: Ensure the lubricant reaches all moving parts for smooth operation and to prevent seizing.
Storage 
Environment: Store surgical instruments in a dry, clean environment.
Protection: Seal away instruments to prevent exposure to moisture, which can lead to oxidation and rust.
Inspection: Before use, visually inspect the retractor for any signs of corrosion, damage, or wear.",
,,,,,,,,,,,
,,"Cardiotomy Sucker, Adult",Special,"A cardiotomy suction cannula is a medical device used during cardiopulmonary bypass (CPB) to remove blood from the surgical site and return it to the heart-lung machine. It is an essential component of the CPB circuit during open-heart surgeries, such as coronary artery bypass grafting (CABG).",,,"The cardiotomy suction cannula performs this function:
It is connected to a vacuum source and a cardiotomy reservoir, a component of the CPB circuit.
The surgeon uses the cannula to suction shed blood and debris directly from the surgical field.
The collected blood is channeled into the cardiotomy reservoir, where it is defoamed and filtered to remove air and debris.
Finally, the processed blood is returned to the patient's circulation via the heart-lung machine. ",,"Pre-cleaning: Clean the instrument immediately after use to prevent the drying of biological matter. 
Solution: Use a neutral pH (pH 7) cleaning solution for manual or ultrasonic cleaning. 
Process: Clean the retractor in its open position to ensure thorough and effective cleaning of all parts. 
Tools: Use soft cloths, soft plastic brushes made of nylon, or water spray guns for cleaning. 
Drying: Dry instruments completely before sterilization or storage to prevent rust and microbial growth","Lubrication 
Frequency: Lubricate the movable and jointed parts of the retractor once a month.
Lubricant: Use a high-quality, surgical-grade instrument lubricant; do not use industrial oils.
Application: Ensure the lubricant reaches all moving parts for smooth operation and to prevent seizing.
Storage 
Environment: Store surgical instruments in a dry, clean environment.
Protection: Seal away instruments to prevent exposure to moisture, which can lead to oxidation and rust.
Inspection: Before use, visually inspect the retractor for any signs of corrosion, damage, or wear.",
,,,,,,,,,,,
,,Snugger Hook Angled ,Special,"A ""Snugger Hook"" is a specialized medical tool used in cardiovascular surgery for manipulating and supporting blood vessels","The original medical device known as a snugger hook is a surgical tool with a unique, flattened, and slightly angled tip",,"Purpose: It is used during procedures like coronary artery bypass graft (CABG) surgery to gently hold, retract, or position delicate blood vessels, such as coronary arteries and veins 
Function: The design allows surgeons to get a secure but atraumatic grip on the vessel, minimizing the risk of damage to the artery walls.",,"Pre-cleaning: Clean the instrument immediately after use to prevent the drying of biological matter. 
Solution: Use a neutral pH (pH 7) cleaning solution for manual or ultrasonic cleaning. 
Process: Clean the retractor in its open position to ensure thorough and effective cleaning of all parts. 
Tools: Use soft cloths, soft plastic brushes made of nylon, or water spray guns for cleaning. 
Drying: Dry instruments completely before sterilization or storage to prevent rust and microbial growth","Lubrication 
Frequency: Lubricate the movable and jointed parts of the retractor once a month.
Lubricant: Use a high-quality, surgical-grade instrument lubricant; do not use industrial oils.
Application: Ensure the lubricant reaches all moving parts for smooth operation and to prevent seizing.
Storage 
Environment: Store surgical instruments in a dry, clean environment.
Protection: Seal away instruments to prevent exposure to moisture, which can lead to oxidation and rust.
Inspection: Before use, visually inspect the retractor for any signs of corrosion, damage, or wear.",
,,,,,,,,,,,
,,Czerny Retractor  Double Ended     Also called as Double hook retractor,General,"A double-ended Czerny retractor is a surgical instrument with two different working ends—one with prongs and the other with a flat blade—used to hold back tissues during surgical procedures, providing a clear view of the surgical site. It is made from stainless steel, is reusable and autoclavable, and its central handle may feature a fenestration to aid in visualizing and cauterizing bleeders. It is commonly used in general surgery, particularly for hernia repair, laparotomies, and during surgical closures.  ","Double-Ended Design: The defining feature is the two different types of working ends on a single instrument. 
Pronged End: One end typically has a pronged or rake-style design to grasp and retract soft tissues. 
Flat Blade End: The other end features a flat blade, often broader, used for retracting tissues or to provide an unobstructed view of the surgical field. 
Handle: The handle is designed for a comfortable and firm grip, providing control to the surgeon. Some models have a central oval fenestration (hole). 
Material: Czerny retractors are made from surgical-grade stainless steel, which is durable, corrosion-resistant, and suitable for sterilization and reuse. 
S-Shaped Design: Some models are described as S-shaped, allowing for better maneuverability in various surgical contexts. ",,"Soft Tissue Retraction: The primary use is to gently hold back soft tissues, muscles, or organs to expose the deeper structures and organs of the surgical site. 
General Surgical Procedures: It is especially useful in procedures like hernia repair and laparotomies to ensure the surgeon has adequate visibility. 
Surgical Closure: The retractor is particularly helpful during the closing phase of a surgery, allowing surgeons to see and manage any bleeders in the underlying tissues. 
Versatility: The dual-ended nature provides flexibility, allowing the surgeon to switch between the pronged and flat blade ends as needed during the procedure. 
Specialized Procedures: Beyond general surgery, it's employed in specialties such as gynecology, urology, ENT, and even plastic surgery. ",,"Pre-cleaning: Clean the instrument immediately after use to prevent the drying of biological matter. 
Solution: Use a neutral pH (pH 7) cleaning solution for manual or ultrasonic cleaning. 
Process: Clean the retractor in its open position to ensure thorough and effective cleaning of all parts. 
Tools: Use soft cloths, soft plastic brushes made of nylon, or water spray guns for cleaning. 
Drying: Dry instruments completely before sterilization or storage to prevent rust and microbial growth","Lubrication 
Frequency: Lubricate the movable and jointed parts of the retractor once a month.
Lubricant: Use a high-quality, surgical-grade instrument lubricant; do not use industrial oils.
Application: Ensure the lubricant reaches all moving parts for smooth operation and to prevent seizing.
Storage 
Environment: Store surgical instruments in a dry, clean environment.
Protection: Seal away instruments to prevent exposure to moisture, which can lead to oxidation and rust.
Inspection: Before use, visually inspect the retractor for any signs of corrosion, damage, or wear.",
,,,,,,,,,,,
,,"Langenbeck Retractor,Any Size",General,"Langenbeck retractor is a handheld surgical instrument, typically made of stainless steel, featuring a flat blade bent at a right angle to its handle, used to gently pull back soft tissues and wound edges during a variety of surgical procedures to provide a clear view of underlying structures. The term ""any size"" refers to the availability of these retractors in different lengths and blade dimensions to suit the specific needs and depths of various surgical incisions and procedures.","Handheld design: A surgeon or assistant holds the retractor to keep tissues in place. 
Stainless steel construction: Made from high-quality, durable, and autoclavable medical-grade stainless steel for repeated sterilization. 
Flat, right-angled blade: The distinctive feature is its flat blade that is bent at a right angle to the handle. 
Multiple sizes: Langenbeck retractors come in various sizes, with different blade widths and lengths, to accommodate different wound sizes and depths. ",,"Soft tissue retraction: The primary use is to retract soft tissues such as muscles, fat, and other organs to expose the operative field. 
Wound edge separation: It can be used to separate the edges of a surgical incision or wound. 
Visualization: By holding tissues and structures aside, it allows surgeons to see and access the deeper parts of the body under the incision. 
Procedure variety: Langenbeck retractors are used in many different surgical specialties, including general surgery, urology, and even dental procedures to retract cheeks","Gentle retraction: The instrument is designed for gentle retraction to minimize tissue trauma.
Positioning: It is important to change the retractor's position frequently to avoid prolonged pressure on any single area of tissue.","Pre-cleaning: Clean the instrument immediately after use to prevent the drying of biological matter. 
Solution: Use a neutral pH (pH 7) cleaning solution for manual or ultrasonic cleaning. 
Process: Clean the retractor in its open position to ensure thorough and effective cleaning of all parts. 
Tools: Use soft cloths, soft plastic brushes made of nylon, or water spray guns for cleaning. 
Drying: Dry instruments completely before sterilization or storage to prevent rust and microbial growth","Lubrication 
Frequency: Lubricate the movable and jointed parts of the retractor once a month.
Lubricant: Use a high-quality, surgical-grade instrument lubricant; do not use industrial oils.
Application: Ensure the lubricant reaches all moving parts for smooth operation and to prevent seizing.
Storage 
Environment: Store surgical instruments in a dry, clean environment.
Protection: Seal away instruments to prevent exposure to moisture, which can lead to oxidation and rust.
Inspection: Before use, visually inspect the retractor for any signs of corrosion, damage, or wear.",
,,,,,,,,,,,
,,"Mastoid (Mollison) Self  Retaining  Retractor  Curved  8""",General, Mollison self-retaining mastoid retractor is a specialized tool that assists surgeons in broadening the incision site for surgical manipulation in different surgical practices.,"While designs can vary, a typical mastoid self-retaining retractor includes: 
Handle: The main body of the instrument, which the surgeon grips. Some designs feature finger rings for better control.
Blades (or arms): Curved shafts leading from the handle to the prongs. The curve helps the instrument conform to the area behind the ear.
Prongs: Situated at the tips of the blades, these hooks gently grip the edges of the incision. They come in various configurations, such as sharp or blunt, and a variety of prong counts, like 3x3 or 4x4.
Ratchet (or lock): This mechanism allows the surgeon to control the degree of retraction and lock the instrument in place",,"Its self-locking mechanism holds back soft tissue, such as skin and muscle, allowing the surgeon to operate with both hands free",,"Pre-cleaning: Clean the instrument immediately after use to prevent the drying of biological matter. 
Solution: Use a neutral pH (pH 7) cleaning solution for manual or ultrasonic cleaning. 
Process: Clean the retractor in its open position to ensure thorough and effective cleaning of all parts. 
Tools: Use soft cloths, soft plastic brushes made of nylon, or water spray guns for cleaning. 
Drying: Dry instruments completely before sterilization or storage to prevent rust and microbial growth","Lubrication 
Frequency: Lubricate the movable and jointed parts of the retractor once a month.
Lubricant: Use a high-quality, surgical-grade instrument lubricant; do not use industrial oils.
Application: Ensure the lubricant reaches all moving parts for smooth operation and to prevent seizing.
Storage 
Environment: Store surgical instruments in a dry, clean environment.
Protection: Seal away instruments to prevent exposure to moisture, which can lead to oxidation and rust.
Inspection: Before use, visually inspect the retractor for any signs of corrosion, damage, or wear.",
,,,,,,,,,,,
,,"Weitlaner S/R Retractor Straight  6""",General,"a surgical instrument used to hold tissue aside and provide hands-free access to a surgical site. The S/R designation indicates that it is self-retaining, featuring a ratcheted lock that keeps the blades open at a desired width.","Self-retaining (S/R): Once set, a ratchet mechanism holds the prongs open, freeing the surgeon's hands.
Straight arms: The blades of this specific model are not curved, which is ideal for shallow incisions. Curved versions are also available.
6"" length: This indicates the total length of the instrument, with different sizes available depending on the surgical application.
Prongs: The retractor has two blades with outward-curving prongs that interdigitate when closed. They can be either blunt or sharp, depending on the type of tissue and procedure.
Material: It is typically constructed from high-quality, medical-grade stainless steel. ",,"The Weitlaner retractor is a versatile instrument used in a variety of surgical procedures, including: 
Orthopedic surgery: For shallow incisions in bone and joint procedures.
Neurosurgery: Such as in a craniotomy, to hold back the scalp.
Plastic surgery: To retract tissue and skin.
ENT surgery: Often used in mastoid surgeries.
General surgery: Suitable for small, deep incisions and procedures like a herniotomy. ",,"Pre-cleaning: Clean the instrument immediately after use to prevent the drying of biological matter. 
Solution: Use a neutral pH (pH 7) cleaning solution for manual or ultrasonic cleaning. 
Process: Clean the retractor in its open position to ensure thorough and effective cleaning of all parts. 
Tools: Use soft cloths, soft plastic brushes made of nylon, or water spray guns for cleaning. 
Drying: Dry instruments completely before sterilization or storage to prevent rust and microbial growth","Lubrication 
Frequency: Lubricate the movable and jointed parts of the retractor once a month.
Lubricant: Use a high-quality, surgical-grade instrument lubricant; do not use industrial oils.
Application: Ensure the lubricant reaches all moving parts for smooth operation and to prevent seizing.
Storage 
Environment: Store surgical instruments in a dry, clean environment.
Protection: Seal away instruments to prevent exposure to moisture, which can lead to oxidation and rust.
Inspection: Before use, visually inspect the retractor for any signs of corrosion, damage, or wear.",
,,,,,,,,,,,
,,Morse Sternal Retractor,Special,"The Morse sternal retractor is a specialized surgical instrument used to retract the sternum, or breastbone, during open-chest procedures. It is available in various sizes to accommodate different patient anatomies, from infants to adults.","Function: The primary function of the retractor is to hold the sternum open, providing the surgeon with a clear and wide field of view to the chest cavity, heart, lungs, and major blood vessels.
Design: It typically consists of a ratchet bar, a fixed arm, and a movable arm with a rotational handle for controlled spreading.
Blades: Many designs feature four movable blades. The angled blades can adapt to the contour of the ribs, and small lateral blades minimize tissue damage.
Material: Morse sternal retractors are crafted from premium-grade stainless steel for its durability, corrosion resistance, and ability to be repeatedly sterilized",,"Specific dimensions for the retractor vary by manufacturer, but sizes are typically categorized by the age group of the patient:
Infant: For the smallest patients, with corresponding blade dimensions.
Child: For pediatric cardiac and thoracic procedures.
Adult (Medium and Large): The most common sizes, with larger blades and a wider spread for adult patients. For example, an adult-large size may offer up to 205 mm of spread","Material: Morse Sternal Retractors are often made from durable materials designed for surgical use, so follow manufacturer-specific maintenance guidelines if available. 
Safety: Proper maintenance ensures the retractor is safe, effective, and ready for its next surgical procedure. ","Pre-cleaning: Clean the instrument immediately after use to prevent the drying of biological matter. 
Solution: Use a neutral pH (pH 7) cleaning solution for manual or ultrasonic cleaning. 
Process: Clean the retractor in its open position to ensure thorough and effective cleaning of all parts. 
Tools: Use soft cloths, soft plastic brushes made of nylon, or water spray guns for cleaning. 
Drying: Dry instruments completely before sterilization or storage to prevent rust and microbial growth","Lubrication 
Frequency: Lubricate the movable and jointed parts of the retractor once a month.
Lubricant: Use a high-quality, surgical-grade instrument lubricant; do not use industrial oils.
Application: Ensure the lubricant reaches all moving parts for smooth operation and to prevent seizing.
Storage 
Environment: Store surgical instruments in a dry, clean environment.
Protection: Seal away instruments to prevent exposure to moisture, which can lead to oxidation and rust.
Inspection: Before use, visually inspect the retractor for any signs of corrosion, damage, or wear.",
,,,,,,,,,,,
,,Finochitto Rib Spreader ,Special," Finochietto rib spreader, also known as a sternal or chest retractor, is a self-retaining surgical instrument used to spread the ribs apart during thoracic surgery. This provides the surgeon with a clear view and access to the chest cavity and the internal organs within, such as the heart and lungs","Self-retaining mechanism: A rack-and-pinion or crank system expands and holds the retractor's blades in a fixed position, freeing the surgeon's hands.Fenestrated blades: The blades have ""windows"" or openings that provide a secure grip on tissues while minimizing trauma to the surrounding area. Ergonomic design: Built from materials like stainless steel or aluminum, its design reduces surgeon fatigue during long procedures.Multiple sizes: The spreader is available in various sizes (infant, small, medium, and large) to accommodate different surgical and anatomical needs.",,"The Finochietto rib spreader is a standard tool in open thoracic surgery, including: 
Cardiothoracic surgery: This includes procedures such as coronary artery bypass grafting (CABG).
Thoracotomy: The process of making an incision into the chest wall.
Lung surgery: Procedures on the lungs.
Trauma surgery: For repairs following severe chest trauma. ","""Material: Morse Sternal Retractors are often made from durable materials designed for surgical use, so follow manufacturer-specific maintenance guidelines if available. 
Safety: Proper maintenance ensures the retractor is safe, effective, and ready for its next surgical procedure. ""","Pre-cleaning: Clean the retractor immediately after use to prevent the drying of biological matter. 
Solution: Use a neutral pH (pH 7) cleaning solution for manual or ultrasonic cleaning. 
Process: Clean the retractor in its open position to ensure thorough and effective cleaning of all parts. 
Tools: Use soft cloths, soft plastic brushes made of nylon, or water spray guns for cleaning. 
Drying: Dry instruments completely before sterilization or storage to prevent rust and microbial growth","Lubrication 
Frequency: Lubricate the movable and jointed parts of the retractor once a month.
Lubricant: Use a high-quality, surgical-grade instrument lubricant; do not use industrial oils.
Application: Ensure the lubricant reaches all moving parts for smooth operation and to prevent seizing.
Storage 
Environment: Store surgical instruments in a dry, clean environment.
Protection: Seal away instruments to prevent exposure to moisture, which can lead to oxidation and rust.
Inspection: Before use, visually inspect the retractor for any signs of corrosion, damage, or wear.",
,,,,,,,,,,,
,,"Shall Cross Clamp Curved 7""",General,"Refers to a Shallcross Cystic Duct Forceps, which are often curved and around 7 inches in length. It is a surgical instrument used to grasp and clamp tissue in the depth during medical procedures.",,,"These are used in gallbladder and bile duct procedures, and a 7-inch, curved version is available.",,"Pre-cleaning: Clean the retractor immediately after use to prevent the drying of biological matter. 
Solution: Use a neutral pH (pH 7) cleaning solution for manual or ultrasonic cleaning. 
Process: Clean the retractor in its open position to ensure thorough and effective cleaning of all parts. 
Tools: Use soft cloths, soft plastic brushes made of nylon, or water spray guns for cleaning. 
Drying: Dry instruments completely before sterilization or storage to prevent rust and microbial growth","Lubrication 
Frequency: Lubricate the movable and jointed parts of the retractor once a month.
Lubricant: Use a high-quality, surgical-grade instrument lubricant; do not use industrial oils.
Application: Ensure the lubricant reaches all moving parts for smooth operation and to prevent seizing.
Storage 
Environment: Store surgical instruments in a dry, clean environment.
Protection: Seal away instruments to prevent exposure to moisture, which can lead to oxidation and rust.
Inspection: Before use, visually inspect the retractor for any signs of corrosion, damage, or wear.",
,,,,,,,,,,,
,,"Mayo Heggar Needle Holder 7""",General,"Mayo-Hegar needle holder is a versatile surgical instrument used to grasp and manipulate medium-to-large-sized suture needles during surgical procedures. Its design, which features a heavy, tapered jaw, a self-locking ratchet, and finger-rings, makes it a reliable tool for wound closure and tissue repair in various medical fields.","Jaws: It has broad, cross-serrated jaws with a rounded tip, which provides a firm and secure, slip-resistant grip on the needle.
Tungsten carbide inserts: Many high-quality Mayo-Hegar holders have tungsten carbide (TC) inserts on the jaws for enhanced durability and a firmer, longer-lasting grip. These instruments are often identified by gold-plated finger rings.
Ratchet mechanism: The self-locking ratchet holds the needle securely without requiring continuous hand pressure, which helps to reduce hand fatigue for the surgeon.
Finger rings: The large finger-ring handles are designed to be comfortable and provide excellent control.
Material: It is typically made from high-grade, rust-resistant stainless steel that can withstand repeated autoclave sterilization.
Sizes: Mayo-Hegar needle holders are available in a range of lengths, from 5 to 12 inches and longer, to accommodate different surgical needs, such as reaching deeper tissue. ",,"General surgery: It is widely used for wound closure and general suturing procedures.
Orthopedic surgery: The instrument's strength and grip make it suitable for suturing muscle and fascia in orthopedic cases.
Obstetrics and gynecology: Surgeons use it for procedures such as C-sections and other tissue repairs.
Dental surgery: It is employed in oral surgeries and implant procedures.
Veterinary medicine: Its robust design makes it a common tool in animal surgery","Advantages
Strong and secure grip: The cross-serrated jaws and durable construction provide a reliable grip, preventing the needle from slipping or rotating during suturing.
Versatility: The Mayo-Hegar is a multi-purpose tool that can be used for a variety of surgical applications involving medium and large needles, and can even be used for tissue handling.
Durability: The use of high-quality stainless steel and tungsten carbide inserts (in premium models) ensures a long service life. 
Disadvantages
Potential for needle damage: The hard tungsten carbide inserts may increase the likelihood of bending or breaking very fine needles, or weakening suture material, if not used carefully.
Not for delicate work: For very fine sutures or delicate microsurgeries, other instruments like the Castroviejo or Olsen-Hegar needle holders are often preferred due to their finer tips.
Requires practice: Holding and manipulating the needle holder with precision can be challenging, and some grips, like ""palming,"" are harder for left-handed surgeons to use. ","Pre-cleaning: Clean the retractor immediately after use to prevent the drying of biological matter. 
Solution: Use a neutral pH (pH 7) cleaning solution for manual or ultrasonic cleaning. 
Process: Clean the retractor in its open position to ensure thorough and effective cleaning of all parts. 
Tools: Use soft cloths, soft plastic brushes made of nylon, or water spray guns for cleaning. 
Drying: Dry instruments completely before sterilization or storage to prevent rust and microbial growth","Lubrication 
Frequency: Lubricate the movable and jointed parts of the retractor once a month.
Lubricant: Use a high-quality, surgical-grade instrument lubricant; do not use industrial oils.
Application: Ensure the lubricant reaches all moving parts for smooth operation and to prevent seizing.
Storage 
Environment: Store surgical instruments in a dry, clean environment.
Protection: Seal away instruments to prevent exposure to moisture, which can lead to oxidation and rust.
Inspection: Before use, visually inspect the retractor for any signs of corrosion, damage, or wear.",
,,,,,,,,,,,
,," Internal Mammary Retractor, Reversable with 2 sliding hook",Special,"An internal mammary retractor with two reversible, sliding hooks is a specialized surgical instrument used primarily in cardiothoracic surgery to harvest the internal mammary artery (IMA). It is a self-retaining device that allows surgeons to perform procedures like Coronary Artery Bypass Grafting (CABG) with a clear and stable view of the surgical site","Application: The primary purpose is to expose the internal mammary artery during cardiac and thoracic procedures. It works by gently lifting and retracting the chest wall and sternum.
Self-retaining mechanism: A screw-driven or ratcheted mechanism holds the retractor in position, providing continuous tension without requiring a surgeon's hands to hold it throughout the procedure.
Reversible, sliding hooks: The hooks can be repositioned and reversed to provide optimal access and exposure, depending on the anatomical needs of the patient. They are inserted under the sternum to lift and retract the rib cage.
Construction: The tool is made from high-grade surgical stainless steel, ensuring its durability, resistance to corrosion, and suitability for repeated sterilization.
Ergonomics: The design provides stable retraction and frees the surgeon's hands, which improves efficiency during delicate procedures. ",,"Placement: The hooks of the retractor are carefully placed under the sternum on either side.
Expansion: The surgeon uses a screw-driven or ratcheted mechanism to expand the retractor. This gently lifts the chest wall and spreads the ribs.
Adjustment: The sliding, reversible hooks can be independently adjusted along a horizontal bar to customize the retraction for the specific patient and surgical requirements.
Harvesting: With the chest wall safely and steadily retracted, the surgeon has clear access to harvest the internal mammary artery for use in a bypass graft. ",,,,
